loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
17.85900068,R,CRO,49,640,Hard,G,19.29637235,R,SUI,1,6003,2000,2,1
27.11841205,R,AUS,133,199,Hard,G,17.62902122,R,BEL,63,510,2000,2,2
31.37850787,R,USA,118,243,Hard,G,26.458590010000002,R,SVK,53,574,2000,2,3
22.00684463,R,CRO,23,1112,Hard,G,18.9705681,R,AUS,116,245,2000,3,4
24.82135524,R,ITA,60,516,Hard,G,22.65023956,R,THA,72,439,2000,2,5
18.85010267,R,SLO,66,484,Hard,G,25.607118410000002,R,CAN,84,347,2000,3,6
26.74606434,R,ISR,214,97,Hard,G,26.28884326,R,MEX,320,52,2000,3,7
23.65776865,R,GER,113,255,Hard,G,28.08213552,R,ESP,15,1558,2000,2,9
26.15195072,R,FRA,177,132,Hard,G,26.4366872,R,USA,28,926,2000,3,10
29.70841889,R,FRA,101,296,Hard,G,23.52361396,R,SUI,71,454,2000,2,11
25.65092402,R,VEN,88,332,Hard,G,20.10677618,R,AUS,275,68,2000,2,12
20.25735797,R,SVK,104,288,Hard,G,28.59958932,L,ARG,121,235,2000,2,13
28.82683094,R,CAN,55,551,Hard,G,20.88158795,L,ESP,46,661,2000,2,14
25.2183436,R,AUS,159,158,Hard,G,21.79603012,R,SUI,96,311,2000,2,15
20.81587953,L,AUS,261,73,Hard,G,18.30800821,R,USA,4,2993,2000,3,17
22.19301848,R,ESP,45,665,Hard,G,26.86926762,R,AUS,58,534,2000,2,18
21.95482546,R,AUS,111,267,Hard,G,27.73716632,L,BEL,31,886,2000,2,19
16.6844627,R,FRA,344,46,Hard,G,20.93908282,R,CZE,57,542,2000,2,22
22.64476386,R,USA,74,404,Hard,G,20.76386037,R,USA,91,329,2000,3,23
25.51129363,R,NZL,117,244,Hard,G,24.35865845,R,RUS,18,1397,2000,2,24
21.69472964,R,CZE,65,501,Hard,G,27.75359343,R,ESP,13,1713,2000,2,25
25.81245722,R,ROU,40,721,Hard,G,20.20807666,R,BLR,75,401,2000,3,26
23.85215606,R,ARG,106,284,Hard,G,18.53251198,L,CRO,98,304,2000,3,28
22.54893908,R,ITA,114,252,Hard,G,27.23066393,R,ROU,20,1247,2000,2,30
26.06707734,L,ESP,50,622,Hard,G,22.80355921,R,PUR,54,569,2000,2,31
23.42778919,R,RUS,41,712,Hard,G,28.23819302,R,RSA,10,1851,2000,2,32
25.34702259,R,ESP,52,613,Hard,G,20.53661875,R,FRA,6,2335,2000,2,33
20.48459959,L,FRA,35,799,Hard,G,17.60985626,R,RUS,85,342,2000,2,35
23.74264203,R,CZE,108,271,Hard,G,20.91444216,R,ZIM,42,700,2000,2,36
25.574264199999998,R,USA,107,276,Hard,G,24.19986311,L,GBR,174,135,2000,2,37
23.99726215,R,BEL,80,378,Hard,G,25.88364134,R,CHN,137,194,2000,2,38
16.61054073,R,BEL,34,812,Hard,G,26.63107461,R,BEL,16,1509,2000,3,40
25.11978097,R,GER,17,1485,Hard,G,26.0862423,R,NED,100,297,2000,2,41
19.08829569,R,USA,36,766,Hard,G,24.58863792,R,SWE,59,524,2000,2,42
24.79671458,R,BUL,70,468,Hard,G,24.53661875,R,JPN,24,1026,2000,2,43
22.67761807,L,GER,120,236,Hard,G,27.35386721,R,NED,99,303,2000,2,45
23.23613963,R,TPE,94,319,Hard,G,19.41683778,R,SCG,103,289,2000,3,46
26.72963723,R,GER,56,551,Hard,G,21.80971937,L,FRA,62,512,2000,3,47
28.93086927,R,USA,190,117,Hard,G,25.00479124,R,FRA,5,2599,2000,2,48
21.08966461,R,SVK,32,826,Hard,G,32.25188227,R,FRA,8,2213,2000,3,49
23.93155373,R,NED,77,391,Hard,G,23.73169062,R,CAN,145,182,2000,3,50
17.724846,U,AUS,391,32,Hard,G,23.321013,R,GER,141,191,2000,3,51
23.56741958,R,ARG,69,469,Hard,G,18.25598905,R,RUS,64,508,2000,3,54
